
Rank	First Name	Last Name	Team	rect	shoes	split	Day 1	line	vision	walk	Day2	Global
257	Pedro	Dias	PRT	0	45	0	45	67.16	41	0	108.16	153.16
258	Baha Eren	Yaldiz	TUR	13	45	18	76	36.1	41	0	77.1	153.1
259	Jérôme	Mayolet	BEL	37	45	7	89	12	41	10	63	152
260	Valentin	Imbach	CHE	0	100	0	100	21.71	26	0	47.71	147.71
261	Suleyman	Atayev	TKM	10	100	0	110	37.48	0	0	37.48	147.48
262	Davlat	Magzumov	TJK	50	10	18	78	69.28	0	0	69.28	147.28
263	Aymane	Lotfi	MAR	37	50	7	94	12	41	0	53	147
264	Victor	Melinceanu	MDA	37	45	0	82	10.5	46	0	56.5	138.5
265	Daniel	Fendrich	AUT	37	25	18	80	15	33	10	58	138
266	Ricardo	Antunes	PRT	10	25	0	35	36.94	66	0	102.94	137.94
267	Sebastián	Mestre	ARG	0	85	40	125	12	0	0	12	137
268	Matevž	Miščič	SVN	10	45	18	73	12	41	10	63	136
269	Nodir	Bobiev	TJK	37	85	0	122	12	0	0	12	134
270	Radek	Olšák	CZE	8	65	33	106	6.2	21	0	27.2	133.2
271	Charlie	van Diepen	NLD	37	10	0	47	53.33	32	0	85.33	132.33
272	Bor	Grošelj Simić	SVN	37	10	18	65	12	55	0	67	132
273	Oisin	Davey	IRL	13	85	0	98	0	33	0	33	131
274	William Bille	Meyling	DNK	10	10	7	27	85.58	8	10	103.58	130.58
275	Tarik	Dzaka	BIH	0	100	0	100	30.39	0	0	30.39	130.39
276	Mohamed	El Khatri	MAR	0	65	0	65	29.2	33	0	62.2	127.2
277	Eric	Song	NZL	8	45	7	60	36.94	29	0	65.94	125.94
278	Abdullah	Aljohani	SAU	8	10	40	58	26.49	41	0	67.49	125.49
279	Jovan	Kascelan	MNE	37	25	0	62	21	41	0	62	124
280	Sofus	Emil Simonsen Øvretveit	NOR	37	25	0	62	9	52	0	61	123
281	Ibrahim	Taghizade	AZE	0	65	0	65	36.95	21	0	57.95	122.95
282	Arthur	Conmy	GBR	0	25	18	43	12	41	24	77	120
282	Luis Sebastian	Galan	DNK	0	25	18	43	12	55	10	77	120
284	Haris	Imamovic	BIH	10	25	7	42	33.8	41	0	74.8	116.8
285	Alexander	Skovsende	DNK	0	10	18	28	12	66	10	88	116
286	Mohammed	Alrefaei	SAU	37	25	0	62	12	41	0	53	115
286	Alexandre	FOUQUET	LUX	0	45	18	63	0	52	0	52	115
288	Chibuoyim Faith Wilson	Ogbonna	NGA	8	45	0	53	18.81	41	0	59.81	112.81
289	Panagiotis	Chatzimichos	GRC	37	45	7	89	21	0	0	21	110
290	Hans	Kühn	CHL	37	65	7	109	0	0	0	0	109
291	Bjarni Dagur Thor	Kárason	ISL	0	25	18	43	12	41	0	53	96
291	Ashan	Rathnaweera	LKA	10	45	0	55	0	41	0	41	96
291	Li Xuan	Tan	MYS	0	25	7	32	12	52	0	64	96
294	Anushervon	Bozorov	TJK	25	65	0	90	0	0	0	0	90
295	Alvaro	Bacca	COL	0	65	7	72	12	0	0	12	84
296	Yakup	Allakov	TKM	37	10	0	47	33.24	0	0	33.24	80.24
297	Akmal	Mamadshoev	TJK	0	10	18	28	0	52	0	52	80
298	Léo	Gamboa Dos Santos	LUX	0	45	0	45	0	34	0	34	79
299	Laura	Massaccesi	ARG	0	45	0	45	0	33	0	33	78
299	Daner Zein	Tonconi Mendoza	BOL	0	25	0	25	12	41	0	53	78
301	Aya	Ben Saad	TUN	0	25	18	43	0	33	0	33	76
302	Ziyad	Alomari	SAU	0	45	11	56	12.94	0	0	12.94	68.94
303	Andrew	Nash	IRL	0	45	0	45	21	0	0	21	66
304	Khulegu	Batnasan	MNG	0	45	7	52	12.33	0	0	12.33	64.33
305	Arturo Aurelio	Hernandez Rodriguez	DOM	25	10	7	42	12	0	10	22	64
306	Ásþór	Björnsson	ISL	0	10	18	28	0	33	0	33	61
307	Martín	Rodríguez Muñoz	ESP	23	10	11	44	12	0	0	12	56
308	Chamindu	Abeysekera	LKA	10	45	0	55	0	0	0	0	55
309	Huseyn	Hajiyev	AZE2	0	25	7	32	22.09	0	0	22.09	54.09
310	Nina	Mitrovic	AUT	25	10	0	35	17	0	0	17	52
311	Lakshith	Nishshanke	LKA	0	10	18	28	0	22	0	22	50
312	Mohamed Reda	Glioula	MAR	0	25	18	43	6	0	0	6	49
313	Darwin	Piche	SLV	0	10	18	28	12	0	0	12	40
314	Sardorbek	Sobirov	UZB	0	25	0	25	12.33	0	0	12.33	37.33
315	Hanka	Goralija	BIH	0	25	0	25	0	12	0	12	37
315	Mohammad	Milhem	PSE	0	25	0	25	12	0	0	12	37
315	Samah	Qarada	PSE	0	25	0	25	0	12	0	12	37
318	Fabricio Javier	Cabrera Gordillo	BOL	0	25	0	25	10	0	0	10	35
319	Ufedo Peter Sule	Achimugu	NGA	0	30	0	30	4	0	0	4	34
320	Roger Danilo	Enriquez Corrales	BOL	0	25	7	32	0	0	0	0	32
321	Stanislas	BRIAUD	LUX	0	10	18	28	0	0	0	0	28
321	Basil	Hijaz	PSE	0	25	0	25	3	0	0	3	28
323	Ana Paula	De Sousa Martin	VEN	0	25	0	25	0	0	0	0	25
324	Jarod	DIFFERDANGE	LUX	0	10	0	10	9	0	0	9	19
325	Vicent	Baeza Esteve	ESP	0	10	0	10	7.5	0	0	7.5	17.5
326	Gurbanberdi	Gulladyyev	TKM	0	10	0	10	4	0	0	4	14
327	José Manuel	Cabrera	SLV	0	10	0	10	0	0	0	0	10
327	Fatima	Omarova	AZE2	0	10	0	10	0	0	0	0	10
329	Bazarkuly	Baymuradov	TKM	0	0	0	0	0	0	0	0	0
329	Malokhatkhon	Mukhammadieva	UZB	0	0	0	0	0	0	0	0	0
329	Abrar	Toma	PSE	0	0	0	0	0	0	0	0	0
